Sate,Title,Description
06-12-1814,MAG 50 Foundations,"<p>Case #8141206</p>
<p>Statement of Sampson Kempthrone, regarding the workhouse architecture of George Gilbert Scott. Original statement given June 12th 1841.</p>
<p>…</p>
<p>If you haven’t already, be sure to visit www.RustyQuill.com/subscribe in order to subscribe to us using your podcast software of choice and be sure to leave reviews online.</p>
<p>If you want to get in touch with us, feel free to tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com.</p>
<p>For more information visit www.RustyQuill.com</p>"
03-31-1816,MAG 23 Schwartzwald,"<p>Case #8163103</p>
<p>Statement of Albrecht von Closen, regarding a discovered tomb near his estate in the Black Forest.</p>
<p>…</p>
<p>Thanks to everyone who took the time to vote for us in the 2016 Podcast Awards. We were completely overwhelmed by your support and look forward to finding out who won in the coming weeks.</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>Sound effects today from previously credited artists via www.freesound.com</p>
<p>For more information visit www.RustyQuill.com</p>"
12/05/1845,MAG 58 Trail Rations,"Case #8450512

Unsigned statement regarding potential cannibalism while attempting to travel the Oregon Trail. Original letter dated December 4th 1845.

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
1862,MAG 105 - Total War,"Case #D-1862-143


Statement of Second Lieutenant Charles Fleming, regarding his experiences during the Taiping Rebellion. Original statement undated, but apparently written in early 1862.




Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Scoots, Bruce Rose, Colleen Ohara, Kelley Redacted, Katharina Sindelar, Daniel Straw, Alex McMinn, Erik Rueter, alexa, Aaron Roudabush, bibli, Padraic Barrett


If you'd like to support us, head to www.patreon.com/rustyquill


Edited this week by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.




Performances:


 - &nbsp;""The Archivist"" - Jonathan Sims
 - &nbsp;""Chinese Librarian"" - Peng Wei




Sound effects for this episode provided by Taira Komori & mmiron.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.




Content Warning for:


 - &nbsp;warfare
 - &nbsp;drowning
 - &nbsp;cannibalism
 - &nbsp;undead"
05/15/1864,MAG 98 - Lights Out,"#8640514


Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 8640514, statement of Doctor Algernon Moss, given May 14th 1864.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Emma Bogan, Jon, Victoria Wetherington, Jack Merryman, Alexandra Sipe, Nadia Heller, Charlotte, Steven Gilbert, Internaut, Maz Dixon


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Tim Stoker is played by Mike LeBeau, Elias Bouchard is played by Ben Meredith, Martin Blackwood is played by Alexander J Newall, Melanie King is played by Lydia Nicholas, PC Basira Hussain is played by Frank Voss


Sound effects for this episode provided by qubodup, SunnySideSound & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:
 - Body horror
 - Poisoning
 - Reported violence to children
 - Self-harm"
6-Nov-22,MAG 7 The Piper,"<p>Case #9220611</p>
<p>Statement of Staff Sgt. Clarence Berry  regarding his time serving with Wilfred Owen in the great war.</p>
<p>…</p>
<p>For everyone who has already left a review, thank you! As an independent production company we cant afford big adverts so your review is absolutely critical to our continued success.</p>
<p>For the duration of launch we will be releasing three episodes a week instead of our normal weekly release schedule. We hope you enjoy the extra terror…</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded  to your device. It’s more convenient for you and really helps us out. </p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at www.RustyQuill.com.</p>
<p>For more information visit RustyQuill,com</p>"
20-Feb-52,MAG 99 - Dust to Dust,"#9522002


Case 9522002 - Robert E. Geiger. Incident occurred in Boise City, Oklahoma, April 1935. Victim’s name given as Stefan Brotchen. Statement given 20th February, 1952. Committed to tape 2nd September, 2007. Gertrude Robinson Recording.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Jeff Goodhind, Liraven, Ryan Byrne, Rachel Brownhill, Chad Wiley, Paul Richardson, Doug Bostic, Cooper Dukes, Jay Honsey, Mark H, DisasterNick


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Gertrude Robinson is played by Sue Sims, The Archivist is played by Jonathan Sims, Michael is played by Luke Booys, Georgie Barker is played by Sasha Sienna, Breekon is played by Martin Corcoran, Hope is played by Steve Violich.


Sound effects for this episode provided by MrAuralization, CGEffex, Diramus (https://www.youtube.com/user/diramus), RICHERlandTV, LOVEBURD & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:




 - Suffocation
 - Undead
 - Natural Disaster
 - Abduction
 - Claustrophobia
 - Violence"
4-Jun-72,MAG 29 Cheating Death,"<p>Case #9720406<br />
Statement of Nathaniel Thorp, regarding his own mortality</p>
<p>…</p>
<p>If you have any questions for writer/narrator Jonathan Sims or the rest of the team at Rusty Quill visit our forums at www.RustyQuill.com and post it to the dedicated thread. We will be hosting an interview at the end of season one and all the best questions will be read on the recording!</p>
<p>Be sure to subscribe using your podcast software of choice to get every episode automatically downloaded to your device. Visit www.RustyQuill.com/subscribe for quick and easy links. It’s more convenient for you and really helps us out.</p>
<p>Like what you’re hearing? Let us know:<br />
Tweet us at @theRustyQuill, drop us an email at mail@RustyQuill.com or comment on our dedicated Forums available at RustyQuill.com</p>
<p>For more information visit www.RustyQuill.com</p>"
12-Jul-72,MAG 60 Observer Effect,"Case #9721207

Statement of Rosa Meyer, concerning a persistent feeling of being watched. Original statement given July 12th 1972.

Thank you to this week's patrons: Icarus, okpksound, Katrina Salomons, Kat Munn, Jarrod Holmes, Chris Yost, George Stone, Hazel, May and Steven Chlebek

If you'd also like to support us, head to www.patreon.com/rustyquill

Sound effects for this episode provided by previously credited artists via freesound.org.

You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe. 

Please rate and review on iTunes, it really helps us to spread the podcast to new listeners, so share the fear!

If you want to get in touch with us, feel free to tweet us at @therustyquill, drop us an email at mail@rustyquill.com or comment on our dedicated Forums available at rustyquill.com."
2-Nov-77,MAG 95 - Absent Without Leave,"#9770211


Martin Blackwood, Archival Assistant at the Magnus Institute, recording statement number 9770211, statement of Luca Moretti, given November 2nd 1977.


Content Warnings for this episode are at the end of the show notes.


Thanks to this week's Patrons: Lara Whelan, Ellanora Childs, Danny, Beth Buell, Bec Savage, Dave Agnew, AlmavivaConte, Paul Gregory, Alex Smith, Samantha Henderson


If you'd like to support us, head to www.patreon.com/rustyquill


Edited by Elizabeth Moffatt, Brock Winstead & Alexander J Newall.


Martin Blackwood is played by Alexander J Newall, PC Basira Hussain is played by Frank Voss


Sound effects for this episode provided by Australopithecusman & previously credited artists via freesound.org.


Check out our merchandise at https://www.redbubble.com/people/rustyquill/collections/708982-the-magnus-archives-s1


You can subscribe to this podcast using your podcast software of choice, or by visiting www.rustyquill.com/subscribe.


Please rate and review on your software of choice, it really helps us to spread the podcast to new listeners, so share the fear.


Content Warning for:












 - Gun violence
 - Warfare
 - Undead
 - Cannibalism
 - Suicide
 - Fascism"
